Date,Open,High,Low,Close,Volume
2026-01-02,3400,3450,3380,3430,1200000
2026-01-05,3430,3480,3410,3460,1350000
2026-01-06,3460,3500,3440,3490,1420000
2026-01-07,3490,3520,3450,3470,1280000
2026-01-08,3470,3510,3430,3500,1510000
2026-01-09,3500,3560,3480,3540,1680000
2026-01-12,3540,3570,3500,3520,1390000
2026-01-13,3520,3550,3470,3490,1450000
2026-01-14,3490,3530,3460,3510,1320000
2026-01-15,3510,3580,3500,3560,1750000
2026-01-16,3560,3600,3530,3590,1820000
2026-01-19,3590,3620,3550,3570,1560000
2026-01-20,3570,3610,3540,3600,1490000
2026-01-21,3600,3650,3580,3640,1930000
2026-01-22,3640,3670,3600,3620,1670000
2026-01-23,3620,3660,3590,3650,1740000
2026-01-26,3650,3700,3630,3680,2010000
2026-01-27,3680,3710,3640,3660,1880000
2026-01-28,3660,3690,3610,3630,1620000
2026-01-29,3630,3670,3600,3650,1550000
